action,norm_key,canonical_id,canonical_sku,dup_id,dup_sku,detail
deactivate_duplicate,175X10,87,1.75X10,27,"1,75-X-10",
deactivate_duplicate,175X12,88,1.75X12,28,"1,75-X12",
deactivate_duplicate,175X4,84,1.75X4,24,"1,75-X-4",
deactivate_duplicate,175X6,85,1.75X6,25,1.75-X-6,
deactivate_duplicate,175X8,86,1.75X8,26,1.75-X-8,
deactivate_duplicate,25X6,93,2.5X6,33,"2,5-X-6",
deactivate_duplicate,25X8,94,2.5X8,34,"2,5-X-8",
deactivate_duplicate,2X10,92,2X10,32,2-X10,
deactivate_duplicate,2X4,89,2X4,29,2-X-4,
deactivate_duplicate,2X6,90,2X6,30,2-X-6,
deactivate_duplicate,2X8,91,2X8,31,2-X-8,
deactivate_duplicate,3X6,82,3X6,35,3-X-6,
deactivate_duplicate,4X6,95,4X6,38,4-X-6,
deactivate_duplicate,4X8,96,4X8,39,4-X-8,
move_image,TWCAT052107,97,TWCAT052-10.7,54,"TWCAT052-10,7","products/2026/02/04/twcat052-10,7.png"
deactivate_duplicate,TWCAT052107,97,TWCAT052-10.7,54,"TWCAT052-10,7",
deactivate_duplicate,TWCAT05216,56,TWCAT052-16,48,TWCAT052--16,
