zip_sku,sku_norm,euro_detected,match_type,suggested_db_sku,product_id,in_db,action
175X10,175X10,,,,,N,create_or_map
175X12,175X12,,,,,N,create_or_map
175X6,175X6,,,,,N,create_or_map
175X8,175X8,,,,,N,create_or_map
175x4,175X4,,,,,N,create_or_map
25X6,25X6,,,,,N,create_or_map
25X8,25X8,,,,,N,create_or_map
2X6,2X6,,exact,2X6,90,Y,use
2X6EXT,2X6EXT,,exact,2X6EXT,78,Y,use
2X8,2X8,,exact,2X8,91,Y,use
2X8EXT,2X8EXT,,exact,2X8EXT,79,Y,use
2x10ext,2X10EXT,,,,,N,create_or_map
2x4,2X4,,exact,2X4,89,Y,use
3X6,3X6,,exact,3X6,82,Y,use
3X8,3X8,,exact,3X8,37,Y,use
3x4,3X4,,exact,3X4,36,Y,use
4X6,4X6,,exact,4X6,95,Y,use
4X8,4X8,,exact,4X8,96,Y,use
CE-R30,CE-R30,,,,,N,create_or_map
CLF002,CLF002,,family,CLFOO2-225,42,Y,use
CLF003,CLF003,,,,,N,create_or_map
CLF004,CLF004,,,,,N,create_or_map
CLF005,CLF005,,,,,N,create_or_map
CLF006,CLF006,,,,,N,create_or_map
CLF008,CLF008,,,,,N,create_or_map
DW002,DW002,,exact,DW002,9,Y,use
DW004,DW004,,exact,DW004,10,Y,use
DW006,DW006,,,,,N,create_or_map
DW008,DW008,,exact,DW008,11,Y,use
DWR008,DWR008,,exact,DWR008,15,Y,use
DWR012,DWR012,,exact,DWR012,16,Y,use
GW-BT-ET003,GW-BT-ET003,,exact,GW-BT-ET003,70,Y,use
GW-M-ET001,GW-M-ET001,,exact,GW-M-ET001,68,Y,use
GW-M-ET002,GW-M-ET002,,exact,GW-M-ET002,69,Y,use
GW-M-ET006,GW-M-ET006,,exact,GW-M-ET006,71,Y,use
GW-M-TT008,GW-M-TT008,,exact,GW-M-TT008,72,Y,use
GW-M-TT009,GW-M-TT009,,exact,GW-M-TT009,73,Y,use
GW-MT-ET016,GW-MT-ET016,,exact,GW-MT-ET016,75,Y,use
GW-MT-ET022,GW-MT-ET022,,exact,GW-MT-ET022,76,Y,use
GW-MT-ET025,GW-MT-ET025,,exact,GW-MT-ET025,77,Y,use
GW-TT-ET015,GW-TT-ET015,,exact,GW-TT-ET015,74,Y,use
GW_TT_ET_0015,GW-TT-ET-0015,,,,,N,create_or_map
LT040,LT040,,exact,LT040,3,Y,use
LT041,LT041,,exact,LT041,1,Y,use
LT042,LT042,,exact,LT042,2,Y,use
LT043,LT043,,exact,LT043,4,Y,use
LT2552,LT2552,,exact,LT2552,5,Y,use
LT5400,LT5400,,exact,LT5400,6,Y,use
LT541,LT541,,exact,LT541,7,Y,use
LT542,LT542,,exact,LT542,8,Y,use
LTM1224,LTM1224,,exact,LTM1224,17,Y,use
LTM1236,LTM1236,,exact,LTM1236,20,Y,use
LTM1239,LTM1239,,exact,LTM1239,22,Y,use
LTM1256,LTM1256,,exact,LTM1256,23,Y,use
LTM1259,LTM1259,,exact,LTM1259,18,Y,use
LTM1266,LTM1266,,exact,LTM1266,21,Y,use
TWCAT002_200,TWCAT2-200,,exact,TWCAT0002--200,43,Y,use
TWCAT002_225,TWCAT2-225,EURO3,exact,TWCAT0002--225,44,Y,use
TWCAT003_200,TWCAT3-200,EURO3,family,TWCAT003,46,Y,use
TWCAT0237_250,TWCAT237-250,EURO3,family,TWCAT237-SENSOR,52,Y,use
TWCAT0237_250_SENSOR,TWCAT237-250-SENSOR,EURO4,,,,N,create_or_map
TWCAT042_200,TWCAT42-200,EURO3,family,TWCAT042,53,Y,use
TWCAT052-12,TWCAT52-12,EURO5,exact,TWCAT052-12,55,Y,use
TWCAT052_107,TWCAT52-107,EURO5,family,TWCAT052-11,49,Y,use
TWCAT052_16,TWCAT52-16,EURO5,exact,TWCAT052-16,56,Y,use
TWCAT052_200_8,TWCAT52-200-8,EURO3,,,,N,create_or_map
